DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
2019-01-01 00:00:00,6352,6527,1395,79,1383,1896,1744,0,30
2019-01-01 01:00:00,6116,5701,1393,96,1112,1429,1641,0,30
2019-01-01 02:00:00,5873,5676,1393,142,1030,1465,1616,0,30
2019-01-01 03:00:00,5682,5603,1397,191,972,1455,1558,0,30
2019-01-01 04:00:00,5557,5454,1393,159,960,1454,1458,0,30
2019-01-01 05:00:00,5525,5385,1395,91,958,1455,1456,0,30
2019-01-01 06:00:00,5513,5349,1392,98,938,1451,1440,0,31
2019-01-01 07:00:00,5524,5547,1392,93,1187,1446,1394,0,34
2019-01-01 08:00:00,5510,5471,1391,51,1325,1357,1303,8,34
2019-01-01 09:00:00,5617,5545,1388,15,1398,1328,1319,61,34
2019-01-01 10:00:00,5643,5610,1390,-5,1410,1331,1324,126,34
2019-01-01 11:00:00,5737,5733,1390,-17,1400,1428,1320,182,34
2019-01-01 12:00:00,5776,5816,1390,-10,1416,1423,1357,206,34
2019-01-01 13:00:00,5744,5823,1389,15,1308,1412,1461,202,34
2019-01-01 14:00:00,5710,5721,1390,100,1245,1408,1383,160,33
2019-01-01 15:00:00,5813,5804,1392,193,1348,1423,1327,85,34
2019-01-01 16:00:00,6009,5870,1392,304,1293,1435,1403,9,33
2019-01-01 17:00:00,6613,6242,1391,510,1453,1442,1411,0,35
2019-01-01 18:00:00,6718,6401,1391,754,1485,1448,1288,0,35
2019-01-01 19:00:00,6721,6488,1393,916,1549,1303,1292,0,34
2019-01-01 20:00:00,6632,6652,1394,1003,1588,1313,1320,0,33
2019-01-01 21:00:00,6441,6726,1390,1118,1518,1354,1312,0,34
2019-01-01 22:00:00,6222,6570,1391,1175,1389,1256,1323,0,34
2019-01-01 23:00:00,5936,6472,1390,1175,1196,1320,1359,0,33
2019-01-02 00:00:00,5647,6407,1391,1452,949,1297,1284,0,35
2019-01-02 01:00:00,5500,6036,1391,1668,662,1037,1243,0,35
2019-01-02 02:00:00,5385,6009,1392,1613,676,1036,1257,0,35
2019-01-02 03:00:00,5327,6062,1390,1823,534,1034,1246,0,35
2019-01-02 04:00:00,5362,5867,1390,1739,418,1021,1264,0,35
2019-01-02 05:00:00,5411,5878,1389,1592,499,1098,1265,0,35
2019-01-02 06:00:00,5510,5996,1388,1478,565,1258,1271,0,35
2019-01-02 07:00:00,5784,6300,1391,1357,925,1307,1285,0,36
2019-01-02 08:00:00,5999,6775,1390,1350,1181,1479,1331,7,36
2019-01-02 09:00:00,6322,6999,1389,1396,1339,1565,1205,66,37
2019-01-02 10:00:00,6576,7463,1392,1499,1342,1873,1157,163,35
2019-01-02 11:00:00,6619,7433,1391,1426,1470,1804,1079,227,36
2019-01-02 12:00:00,6595,7448,1392,1450,1297,1839,1188,244,36
2019-01-02 13:00:00,6537,7390,1392,1330,1324,1847,1186,273,37
2019-01-02 14:00:00,6438,7165,1392,947,1499,1851,1247,191,36
2019-01-02 15:00:00,6523,7087,1391,664,1527,1915,1459,94,37
2019-01-02 16:00:00,6800,7008,1391,594,1561,1957,1450,15,37
2019-01-02 17:00:00,7301,7116,1393,567,1709,1961,1449,0,37
2019-01-02 18:00:00,7432,7337,1395,454,1996,1969,1485,0,37
2019-01-02 19:00:00,7388,7256,1394,385,1941,1972,1527,0,36
2019-01-02 20:00:00,7344,7176,1393,317,1887,1976,1569,0,35
2019-01-02 21:00:00,7054,7100,1386,382,1808,1895,1594,0,35
2019-01-02 22:00:00,6610,7071,1389,476,1687,1886,1597,0,36
2019-01-02 23:00:00,6265,6718,1388,603,1269,1887,1537,0,34
2019-01-03 00:00:00,5918,6571,1395,730,1169,1892,1351,0,35
2019-01-03 01:00:00,5693,6245,1395,908,956,1646,1304,0,35
2019-01-03 02:00:00,5544,6231,1394,1118,885,1509,1290,0,36
2019-01-03 03:00:00,5539,6356,1395,1150,900,1536,1339,0,35
2019-01-03 04:00:00,5684,6396,1395,981,956,1705,1323,0,35
2019-01-03 05:00:00,5830,6437,1395,812,1013,1874,1307,0,36
2019-01-03 06:00:00,6144,6142,1397,769,916,1754,1271,0,35
2019-01-03 07:00:00,6725,6426,1394,635,1244,1851,1264,0,39
2019-01-03 08:00:00,7446,7012,1395,664,1599,1755,1553,6,39
2019-01-03 09:00:00,7780,7034,1393,581,1543,1879,1553,43,40
2019-01-03 10:00:00,7987,7067,1352,293,1803,1878,1596,103,41
