date,PT_8313A.AV_0#,PT_8313B.AV_0#,PT_8313C.AV_0#,PT_8313D.AV_0#,PT_8313E.AV_0#,PT_8313F.AV_0#,PTCA_8322A.AV_0#,PTCA_8324.AV_0#,TE_8319A.AV_0#,TE_8319B.AV_0#,TE_8313B.AV_0#,TE_8303.AV_0#,TE_8304.AV_0#,TV_8329ZC.AV_0#,FT_8301.AV_0#,FT_8302.AV_0#,FT_8306A.AV_0#,AIR_8301A.AV_0#,FT_8306B.AV_0#,AIR_8301B.AV_0#,YFJ3_AI.AV_0#,YFJ3_ZD1.AV_0#,YFJ3_ZD2.AV_0#,SXLTCYZ.AV_0#,SXLTCYY.AV_0#,ZCLCCY.AV_0#,YCLCCY.AV_0#,YJJWSLL.AV_0#,ZZQBCHLL.AV_0#,TE_8332A.AV_0#
2022-03-27 14:28:54,-142.28,-179.46,-150.68,-118.53,-142.62,-147.65,9.7,9.36,352.5,379.46,774.08,211.05,222.69,17.05,47312.49,20451.36,723.54,1.81,586.57,1.82,22.79,5.6,7.62,-129.15,-365.9,10667.39,10637.2,2.78,60.89,538.29
2022-03-27 14:28:59,-142.79,-187.01,-149.33,-96.88,-135.32,-154.28,9.7,9.36,352.5,379.46,774.14,211.02,222.66,17.06,47093.44,19469.45,716.31,1.81,600.27,1.82,22.78,5.16,7.91,-129.15,-365.9,10667.39,10637.2,2.78,60.89,538.29
2022-03-27 14:29:04,-135.23,-195.32,-146.9,-101.83,-156.13,-136.83,9.7,9.36,352.5,379.46,774.08,210.98,222.63,17.06,47659.94,21148.14,725.9,1.81,590.7,1.8,22.83,5.52,6.34,-125.63,-356.84,10683.86,10678.77,2.78,60.57,538.25
2022-03-27 14:29:09,-147.23,-202.96,-154.28,-112.57,-164.44,-145.64,9.7,9.36,352.5,379.46,774.34,210.95,222.63,17.06,47159.53,20409.82,715.61,1.81,599.11,1.77,22.77,5.63,11.55,-125.63,-356.84,10683.86,10678.77,2.78,60.57,538.25
2022-03-27 14:29:14,-147.91,-204.55,-147.99,-126.92,-160.66,-140.44,9.7,9.36,352.56,379.46,774.68,210.88,222.59,17.06,46381.55,19089.9,705.36,1.81,610.09,1.77,22.81,5.11,7.11,-135.03,-371.02,10808.68,10664.25,2.79,60.59,538.25
2022-03-27 14:29:19,-148.07,-204.72,-148.33,-109.97,-160.66,-132.38,9.71,9.37,352.5,379.46,774.98,210.88,222.56,17.06,46972.59,18838.75,724.14,1.84,588.48,1.8,21.52,5.78,7.87,-135.03,-371.02,10808.68,10664.25,2.79,60.59,538.25
2022-03-27 14:29:24,-158.48,-201.03,-156.89,-108.55,-161.25,-150.68,9.71,9.37,352.5,379.39,775.41,210.88,222.56,17.06,48190.55,20613.76,730.08,1.84,587.28,1.85,23.61,5.97,7.07,-137.8,-353.48,10649.29,10671.84,2.79,60.66,538.19
2022-03-27 14:29:29,-157.89,-208.16,-163.77,-98.56,-165.28,-152.44,9.71,9.37,352.5,379.46,775.94,210.85,222.53,17.06,47718.47,21899.69,705.51,1.81,605.81,1.85,23.06,5.24,5.37,-137.8,-353.48,10649.29,10671.84,2.79,60.66,538.26
2022-03-27 14:29:34,-158.31,-205.31,-166.03,-102.84,-174.26,-137.08,9.71,9.37,352.5,379.4,776.28,210.82,222.49,17.06,47627.83,20491.02,722.48,1.76,590.78,1.85,23.13,5.61,6.12,-140.4,-355.33,10664.46,10672.22,2.79,60.31,538.19
2022-03-27 14:29:39,-158.48,-205.31,-162.34,-129.78,-169.39,-138.84,9.71,9.37,352.5,379.46,776.58,210.78,222.49,17.06,46719.56,19952.85,721.27,1.73,594.98,1.8,23.14,6.67,5.92,-140.4,-355.33,10664.46,10672.22,2.79,60.31,538.2
2022-03-27 14:29:44,-152.61,-199.77,-159.99,-104.27,-164.27,-119.29,9.71,9.38,352.5,379.4,776.81,210.75,222.46,17.06,48018.71,19777.24,723.69,1.71,592.76,1.77,23.14,5.57,10.61,-148.54,-386.55,10829.89,10656.09,2.79,60.13,538.19
2022-03-27 14:29:49,-159.91,-202.46,-165.19,-88.4,-159.74,-131.79,9.71,9.38,352.56,379.4,776.88,210.75,222.42,17.06,46772.43,21586.23,706.72,1.71,602.46,1.75,23.12,6.28,5.05,-148.54,-386.55,10829.89,10656.09,2.79,60.13,538.19
2022-03-27 14:29:54,-161.08,-202.88,-162.76,-104.77,-159.32,-153.03,9.72,9.38,352.5,379.46,776.81,210.68,222.39,17.06,47884.64,20081.25,706.57,1.68,602.43,1.72,23.17,5.13,8.95,-147.53,-347.61,10657.47,10682.04,2.79,60.15,538.2
2022-03-27 14:29:59,-148.07,-204.81,-165.11,-110.48,-161.25,-144.55,9.72,9.38,352.5,379.46,776.81,210.65,222.36,17.06,47605.17,20574.1,716.39,1.66,598.23,1.72,23.09,6.12,7.58,-147.53,-347.61,10657.47,10682.04,2.79,60.15,538.26
2022-03-27 14:30:04,-142.28,-201.62,-160.24,-110.06,-161.84,-160.49,9.72,9.38,352.57,379.4,776.88,210.65,222.39,17.06,47661.82,20683.63,709.24,1.66,605.45,1.72,23.07,5.78,5.77,-130.24,-361.37,10850.37,10718.29,2.81,60.48,538.26
