Date,Consumption,Wind,Solar,Wind+Solar
2015-01-01 07:00:00+00:00,41.133,10.208,0.071,10.279
2015-01-01 08:00:00+00:00,42.963,10.029,0.773,10.802
2015-01-01 09:00:00+00:00,45.088,10.55,2.117,12.667000000000002
2015-01-01 10:00:00+00:00,47.013,11.39,3.364,14.754000000000001
2015-01-01 11:00:00+00:00,48.159,12.103,4.198,16.301000000000002
2015-01-01 12:00:00+00:00,47.164,12.505,3.5,16.005000000000003
2015-01-01 13:00:00+00:00,46.752,11.921,2.279,14.2
2015-01-01 14:00:00+00:00,47.403,11.851,0.746,12.597000000000001
2015-01-01 15:00:00+00:00,49.44,13.582,0.05,13.632000000000001
2015-01-01 16:00:00+00:00,53.41,15.436,0.0,15.436
2015-01-01 17:00:00+00:00,53.672,16.868,0.0,16.868
2015-01-01 18:00:00+00:00,53.012,18.008,0.0,18.008
2015-01-01 19:00:00+00:00,50.313,19.181,0.0,19.181
2015-01-01 20:00:00+00:00,48.73,20.353,0.0,20.353
2015-01-01 21:00:00+00:00,48.624,21.235,0.0,21.235
2015-01-01 22:00:00+00:00,45.668,22.083,0.0,22.083
2015-01-01 23:00:00+00:00,42.424,22.472,0.0,22.472
2015-01-02 00:00:00+00:00,40.577,23.434,0.0,23.434
2015-01-02 01:00:00+00:00,39.707,24.248,0.0,24.248
2015-01-02 02:00:00+00:00,39.504,25.034,0.0,25.034
2015-01-02 03:00:00+00:00,40.391,25.721,0.0,25.721
2015-01-02 04:00:00+00:00,42.382,26.172,0.0,26.172
2015-01-02 05:00:00+00:00,45.679,26.355,0.0,26.355
2015-01-02 06:00:00+00:00,50.418,26.193,0.0,26.193
2015-01-02 07:00:00+00:00,54.131,26.59,0.038,26.628
2015-01-02 08:00:00+00:00,56.505,25.934,0.252,26.186
2015-01-02 09:00:00+00:00,58.447,25.641,0.667,26.308
2015-01-02 10:00:00+00:00,59.453,25.81,1.262,27.072
2015-01-02 11:00:00+00:00,59.201,25.642,1.726,27.368
2015-01-02 12:00:00+00:00,58.564,25.795,1.899,27.694000000000003
2015-01-02 13:00:00+00:00,57.721,25.297,1.352,26.649
2015-01-02 14:00:00+00:00,57.276,24.982,0.516,25.497999999999998
2015-01-02 15:00:00+00:00,58.813,24.719,0.045,24.764000000000003
2015-01-02 16:00:00+00:00,61.605,24.301,0.0,24.301
2015-01-02 17:00:00+00:00,61.645,25.01,0.0,25.01
2015-01-02 18:00:00+00:00,59.283,24.783,0.0,24.783
2015-01-02 19:00:00+00:00,55.622,24.279,0.0,24.279
2015-01-02 20:00:00+00:00,53.186,24.366,0.0,24.366
2015-01-02 21:00:00+00:00,50.691,24.546,0.0,24.546
2015-01-02 22:00:00+00:00,45.323,24.626,0.0,24.626
2015-01-02 23:00:00+00:00,40.464,24.076,0.0,24.076
2015-01-03 00:00:00+00:00,38.338,23.277,0.0,23.277
2015-01-03 01:00:00+00:00,36.897,22.117,0.0,22.117
2015-01-03 02:00:00+00:00,36.104,20.918,0.0,20.918
2015-01-03 03:00:00+00:00,36.453,20.291,0.0,20.291
2015-01-03 04:00:00+00:00,36.839,20.508,0.0,20.508
